Molecule_ID,E_ST,condition E_ST,S?,condition S?,T?,condition T?
TADF-M-01112,50,toluene,,,,
TADF-M-01113,70,toluene,,,,
TADF-M-01114,120,toluene,,,,
TADF-M-01115,30,CBP,,,,
TADF-M-01116,80,CBP,,,,
TADF-M-01134,165,neat film,2793,neat film,,
TADF-M-01135,68,neat film,2579,neat film,,
TADF-M-01136,71,neat film,2176,neat film,,
TADF-M-01187,260,toluene,2520,toluene,2260,toluene
TADF-M-01188,250,toluene,2320,toluene,2070,toluene
TADF-M-01189,240,toluene,2770,toluene,2530,toluene
TADF-M-01190,270,toluene,2760,toluene,2490,toluene
TADF-M-02597,120,PPF,,,,
TADF-M-02598,170,PPF,,,,
TADF-M-01366,130,toluene,,,,
TADF-M-01588,100,neat film,,,,
TADF-M-01589,70,neat film,,,,
TADF-M-01590,50,neat film,,,,
TADF-M-01591,70,neat film,,,,
TADF-M-01592,60,neat film,,,,
TADF-M-01593,40,neat film,,,,
TADF-M-02660,700,PMMA,3250,PMMA,2550,PMMA
TADF-M-02661,590,PMMA,3150,PMMA,2560,PMMA
TADF-M-02662,440,PMMA,2870,PMMA,2430,PMMA
TADF-M-02663,280,toluene,2080,toluene,1800,toluene
TADF-M-02664,190,toluene,1930,toluene,1740,toluene
TADF-M-02645,330,neat film,2990,neat film,2660,neat film
TADF-M-02646,50,neat film,2680,neat film,2630,neat film
TADF-M-01368,10,toluene,2790,toluene,2780,toluene
TADF-M-01369,230,toluene,2910,toluene,2680,THF
TADF-M-01370,90,toluene,2920,toluene,2830,THF
TADF-M-01371,270,toluene,2950,toluene,2680,THF
TADF-M-01372,200,toluene,3110,toluene,2910,toluene
TADF-M-01373,180,PMMA,,,,
TADF-M-01374,210,CH2Cl2,,,,
TADF-M-01375,140,CH2Cl2,,,,
TADF-M-01376,210,CH2Cl2,,,,
TADF-M-01377,170,toluene,,,,
TADF-M-01378,150,toluene,,,,
TADF-M-01016,60,PMMA,,,,
TADF-M-00937,20,toluene,,,,
TADF-M-00938,134,toluene,,,,
TADF-M-01379,140,toluene,,,,
TADF-M-01380,110,CH2Cl2,,,,
TADF-M-01381,-100,toluene,,,,
TADF-M-01382,150,toluene,,,,
TADF-M-01384,170,THF,,,,
TADF-M-01385,160,toluene,,,,
TADF-M-01386,140,toluene,,,,
TADF-M-01387,140,toluene,,,,
TADF-M-01388,180,toluene,,,,
TADF-M-01295,170,toluene,,,,
TADF-M-01389,160,toluene,,,,
TADF-M-01390,140,toluene,,,,
TADF-M-01391,120,toluene,,,,
TADF-M-01392,140,toluene,,,,
TADF-M-01341,170,toluene,,,,
TADF-M-01393,110,toluene,,,,
TADF-M-01394,160,toluene,,,,
TADF-M-01395,130,toluene,,,,
TADF-M-01396,190,toluene,,,,
TADF-M-01397,130,toluene,,,,
TADF-M-01335,150,toluene,,,,
TADF-M-01336,110,toluene,,,,
TADF-M-01398,120,toluene,,,,
TADF-M-01399,140,toluene,,,,
TADF-M-01400,100,toluene,,,,
TADF-M-01401,130,toluene,,,,
TADF-M-01402,150,toluene,,,,
TADF-M-01403,210,toluene,2860,toluene,2800,toluene
TADF-M-01404,190,toluene,,,,
TADF-M-01254,80,toluene,,,,
TADF-M-01255,110,toluene,,,,
TADF-M-01405,120,toluene,,,,
TADF-M-01257,90,toluene,,,,
TADF-M-01258,150,toluene,,,,
TADF-M-01259,140,toluene,,,,
TADF-M-01343,140,toluene,,,,
TADF-M-01407,140,toluene,,,,
TADF-M-01408,140,toluene,,,,
TADF-M-01409,130,toluene,2680,toluene,2550,toluene
TADF-M-01410,110,toluene,2720,toluene,2610,toluene
TADF-M-01411,140,toluene,,,,
TADF-M-01412,30,toluene,,,,
TADF-M-01413,140,toluene,,,,
TADF-M-01414,90,toluene,,,,
TADF-M-01415,180,toluene,,,,
TADF-M-01416,80,toluene,,,,
TADF-M-01417,150,toluene,,,,
TADF-M-01418,150,toluene,,,,
TADF-M-01419,120,toluene,,,,
TADF-M-01420,180,toluene,,,,
TADF-M-01421,140,toluene,,,,
TADF-M-00850,140,toluene,,,,
TADF-M-01422,140,toluene,,,,
TADF-M-01423,90,toluene,,,,
TADF-M-01424,130,toluene,,,,
TADF-M-01425,110,toluene,,,,
TADF-M-01427,60,toluene,,,,
TADF-M-01428,10,toluene,,,,
TADF-M-01429,250,toluene,,,,
TADF-M-01432,230,toluene,,,,
TADF-M-01433,190,toluene,,,,
TADF-M-01434,90,toluene,2610,toluene,2520,toluene
TADF-M-01435,130,toluene,,,,
TADF-M-01436,90,toluene,,,,
TADF-M-01437,110,THF,,,,
TADF-M-01438,80,toluene,,,,
TADF-M-01439,80,toluene,,,,
TADF-M-01440,60,toluene,,,,
TADF-M-01441,40,PS,,,,
TADF-M-01442,40,PS,,,,
TADF-M-01443,100,toluene,,,,
TADF-M-01332,180,toluene,,,,
TADF-M-01331,150,toluene,,,,
TADF-M-01333,110,toluene,,,,
TADF-M-01444,140,toluene,2740,THF,2600,THF
TADF-M-01027,120,CH2Cl2,,,,
TADF-M-01448,310,CH2Cl2,,,,
TADF-M-01449,190,CH2Cl2,,,,
TADF-M-01450,150,PMMA,,,,
TADF-M-01445,200,toluene,,,,
TADF-M-01446,160,toluene,,,,
TADF-M-01447,150,toluene,,,,
TADF-M-01451,140,PMMA,,,,
TADF-M-01452,110,PMMA,,,,
TADF-M-01453,200,toluene,,,,
TADF-M-01454,120,toluene,,,,
TADF-M-01455,190,toluene,,,,
TADF-M-01456,170,PMMA,,,,
TADF-M-01458,80,mCP,,,,
TADF-M-01459,120,toluene,,,,
TADF-M-01460,110,toluene,,,,
TADF-M-01463,50,DBFPO,,,,
TADF-M-01466,200,toluene,,,,
TADF-M-01467,200,toluene,,,,
TADF-M-01355,150,toluene,,,,
TADF-M-01356,160,toluene,,,,
TADF-M-01469,170,toluene,,,,
TADF-M-01470,150,toluene,,,,
TADF-M-01471,150,toluene,,,,
TADF-M-01472,170,toluene,,,,
TADF-M-01473,140,toluene,,,,
TADF-M-01474,170,toluene,,,,
TADF-M-01475,150,toluene,,,,
TADF-M-00950,160,toluene,,,,
TADF-M-01477,240,toluene,,,,
TADF-M-01478,250,toluene,,,,
TADF-M-01479,120,toluene,,,,
TADF-M-01480,60,PMMA,,,,
TADF-M-01481,210,toluene,,,,
TADF-M-01482,50,toluene,,,,
TADF-M-01483,60,toluene,,,,
TADF-M-01484,100,toluene,,,,
TADF-M-01485,29,PMMA,,,,
TADF-M-00913,40,toluene,2780,toluene,2740,toluene
TADF-M-01486,70,toluene,,,,
TADF-M-01487,50,toluene,,,,
TADF-M-01488,70,toluene,,,,
TADF-M-01489,10,toluene,,,,
TADF-M-01457,40,toluene,,,,
TADF-M-01490,40,toluene,,,,
TADF-M-01491,40,toluene,,,,
TADF-M-01492,8.5,PMMA,,,,
TADF-M-01493,6,PMMA,,,,
TADF-M-01494,4.9,PMMA,,,,
TADF-M-01495,12,PS,,,,
TADF-M-01496,21,PS,,,,
TADF-M-01497,3.9,PS,,,,
TADF-M-01498,19,PS,,,,
TADF-M-01499,150,toluene,,,,
TADF-M-01500,100,toluene,,,,
TADF-M-01501,430,toluene,,,,
TADF-M-01502,400,toluene,,,,
TADF-M-01503,280,toluene,,,,
TADF-M-01504,170,mCBP,,,,
TADF-M-01506,310,THF,3120,THF,2810,THF
TADF-M-01507,240,THF,,,,
TADF-M-01508,40,toluene,,,,
TADF-M-01511,110,DPEPO,,,,
TADF-M-01512,60,DPEPO,,,,
TADF-M-01513,80,DPEPO,,,,
TADF-M-01514,10,toluene,,,,
TADF-M-01515,20,toluene,,,,
TADF-M-01516,200,toluene,,,,
TADF-M-01517,10,toluene,,,,
TADF-M-01518,70,DPEPO,,,,
TADF-M-01519,10,toluene,,,,
TADF-M-01520,10,toluene,2770,toluene,2760,toluene
TADF-M-01521,10,toluene,2640,toluene,2630,toluene
TADF-M-01522,50,TCTA,,,,
TADF-M-01523,60,TCTA,,,,
TADF-M-01524,400,neat film,,,,
TADF-M-01525,260,toluene,,,,
TADF-M-01526,150,toluene,,,,
TADF-M-01054,280,toluene,,,,
TADF-M-01055,240,toluene,,,,
TADF-M-01527,130,toluene,,,,
TADF-M-01528,200,toluene,,,,
TADF-M-01529,290,toluene,,,,
TADF-M-01530,260,toluene,3020,neat film,2770,neat film
TADF-M-01531,210,toluene,,,,
TADF-M-01532,220,toluene,,,,
TADF-M-01533,90,neat film,,,,
TADF-M-01534,60,neat film,,,,
TADF-M-01535,10,neat film,,,,
TADF-M-01536,290,neat film,,,,
TADF-M-01549,180,toluene,,,,
TADF-M-01550,110,toluene,,,,
TADF-M-01551,110,toluene,,,,
TADF-M-01552,150,toluene,,,,
TADF-M-01553,140,toluene,,,,
TADF-M-01554,140,toluene,,,,
TADF-M-01555,170,toluene,,,,
TADF-M-01542,150,toluene,,,,
TADF-M-01543,140,toluene,,,,
TADF-M-01544,160,toluene,,,,
TADF-M-01545,160,toluene,,,,
TADF-M-01558,170,toluene,2460,toluene,2290,toluene
TADF-M-01559,130,toluene,2420,toluene,2290,toluene
TADF-M-01561,180,toluene,,,,
TADF-M-01562,100,PMMA,,,,
TADF-M-01566,140,toluene,,,,
TADF-M-01567,140,toluene,,,,
TADF-M-01574,370,neat film,3080,neat film,2710,neat film
TADF-M-01575,140,neat film,2740,neat film,2600,neat film
TADF-M-01576,400,neat film,2910,neat film,2520,neat film
TADF-M-01163,120,toluene,2840,neat film,2720,neat film
TADF-M-01164,115,toluene,2840,neat film,2740,neat film
TADF-M-01165,80,toluene,2800,toluene,2720,toluene
TADF-M-01166,90,toluene,2820,toluene,2730,toluene
TADF-M-01167,110,toluene,2650,toluene,2540,toluene
TADF-M-01581,60,PPF,,,,
TADF-M-01582,270,PPF,,,,
TADF-M-02653,80,neat film,,,,
TADF-M-02654,60,neat film,,,,
TADF-M-02655,110,neat film,,,,
TADF-M-00196,110,neat film,,,,
TADF-M-01043,300,PPF,3100,PPF,2800,PPF
TADF-M-01044,120,PPF,2810,PPF,2690,PPF
TADF-M-01045,60,PPF,3020,PPF,2960,PPF
TADF-M-02656,1250,toluene,4000,toluene,2750,toluene
TADF-M-02657,1220,toluene,3960,toluene,2740,toluene
TADF-M-02658,1190,toluene,3970,toluene,2790,toluene
TADF-M-02659,620,toluene,3230,toluene,2610,toluene
TADF-M-01586,180,THF,2570,THF,2380,THF
TADF-M-01587,160,THF,2520,THF,2360,THF
TADF-M-00262,121,toluene,,,,
TADF-M-00261,47,toluene,,,,
TADF-M-02665,400,THF,3080,THF,2680,THF
TADF-M-02666,310,THF,2950,THF,2640,THF
TADF-M-02667,280,THF,2910,THF,2630,THF
TADF-M-02668,260,THF,2930,THF,2670,THF
TADF-M-02669,220,THF,2870,THF,2650,THF
TADF-M-01598,150,mCBP,2780,mCBP,2630,mCBP
TADF-M-01599,160,mCBP,2760,mCBP,2600,mCBP
TADF-M-02671,290,toluene,2800,toluene,2510,toluene
TADF-M-02672,310,toluene,2760,toluene,2450,toluene
TADF-M-02673,200,DPEPO,3110,DPEPO,2910,DPEPO
TADF-M-01979,200,DPEPO,3020,DPEPO,2820,DPEPO
TADF-M-01978,190,DPEPO,3050,DPEPO,2860,DPEPO
TADF-M-01980,100,DPEPO,2980,DPEPO,2880,DPEPO
TADF-M-01604,170,mCP,2780,mCP,2610,mCP
TADF-M-01608,60,mCP,2690,mCP,2630,mCP
TADF-M-01610,140,zeonex,,,,
TADF-M-01611,300,zeonex,,,,
TADF-M-00648,230,zeonex,,,,
TADF-M-01614,40,CBP,,,,
TADF-M-01615,80,CBP,,,,
TADF-M-01616,130,CBP,,,,
TADF-M-01617,200,CBP,,,,
TADF-M-01618,90,CBP,,,,
TADF-M-01628,260,toluene,,,,
TADF-M-01629,210,toluene,,,,
TADF-M-02675,50,DPEPO,3830,DPEPO,-1540,DPEPO
TADF-M-02676,30,DPEPO,3840,DPEPO,-1560,DPEPO
TADF-M-02677,40,DPEPO,3850,DPEPO,-1590,DPEPO
TADF-M-01632,70,toluene,2990,toluene,2920,toluene
TADF-M-01633,120,toluene,3040,toluene,2920,toluene
TADF-M-02689,160,PMMA,2750,PMMA,2580,PMMA
TADF-M-01645,350,toluene,2460,toluene,2110,toluene
TADF-M-00841,110,toluene,2230,toluene,2120,toluene
TADF-M-01646,,,2120,toluene,,
TADF-M-02690,180,toluene,,,2520,toluene
TADF-M-02691,230,toluene,,,2560,toluene
TADF-M-01666,330,THF,3130,THF,2800,THF
TADF-M-01667,150,THF,2930,THF,2780,THF
TADF-M-02698,290,toluene,2770,CH2Cl2,2740,toluene
TADF-M-02699,70,toluene,2130,CH2Cl2,2290,CH2Cl2
TADF-M-02700,350,toluene,2250,CH2Cl2,2250,CH2Cl2
TADF-M-01672,60,DPEPO,2760,DPEPO,2700,DPEPO
TADF-M-01673,30,DPEPO,2700,DPEPO,2670,DPEPO
TADF-M-02701,570,neat film,2850,neat film,3370,neat film
TADF-M-01674,420,zeonex,2960,zeonex,2540,zeonex
TADF-M-01675,460,zeonex,3020,zeonex,2560,zeonex
TADF-M-01676,100,mCBP,,,,
TADF-M-01677,100,mCBP,,,,
TADF-M-01678,45,mCBP,,,,
TADF-M-01682,300,zeonex,2850,zeonex,2550,zeonex
TADF-M-01683,370,zeonex,2830,zeonex,2460,zeonex
TADF-M-01684,490,zeonex,2830,zeonex,2340,zeonex
TADF-M-00052,260,PPF,3090,PPF,2830,PPF
TADF-M-00053,240,PPF,3010,PPF,2770,PPF
TADF-M-01685,200,THF,2900,THF,2700,THF
TADF-M-01686,190,THF,2820,THF,2630,THF
TADF-M-01687,,,,,3030,THF
TADF-M-01688,,,,,3030,THF
TADF-M-01689,,,,,2940,THF
TADF-M-00046,250,PPF,3070,PPF,2820,PPF
TADF-M-00048,250,PPF,3100,PPF,2850,PPF
TADF-M-00045,260,PPF,3060,PPF,2800,PPF
TADF-M-00047,290,PPF,3090,PPF,2800,PPF
TADF-M-00044,300,PPF,3100,PPF,2800,PPF
TADF-M-01690,,,2672,neat film,2620,neat film
TADF-M-00774,,,2605,neat film,2536,neat film
TADF-M-01691,280,THF,3040,THF,2760,THF
TADF-M-01692,180,THF,2880,THF,2700,THF
TADF-M-02702,150,THF,2770,THF,2620,THF
TADF-M-02703,160,THF,2740,THF,2580,THF
TADF-M-01693,80,THF,,,,
TADF-M-00092,80,THF,,,,
TADF-M-02705,240,neat film,3060,neat film,2780,neat film
TADF-M-02706,210,neat film,2990,neat film,2780,neat film
TADF-M-02707,200,neat film,2910,neat film,2710,neat film
TADF-M-02708,280,neat film,3010,neat film,2730,neat film
TADF-M-02709,240,neat film,2960,neat film,2720,neat film
TADF-M-02719,290,neat film,3220,neat film,2930,neat film
TADF-M-02720,240,neat film,3160,neat film,2920,neat film
TADF-M-02721,110,neat film,3050,neat film,2940,neat film
TADF-M-01695,510,zeonex,2920,zeonex,2410,zeonex
TADF-M-01696,520,zeonex,2930,zeonex,2410,zeonex
TADF-M-01697,490,zeonex,2880,zeonex,2390,zeonex
TADF-M-01698,510,zeonex,2910,zeonex,2400,zeonex
TADF-M-01699,280,zeonex,2870,zeonex,2590,zeonex
TADF-M-01700,140,zeonex,2690,zeonex,2550,zeonex
TADF-M-01701,120,zeonex,2630,zeonex,2510,zeonex
TADF-M-00136,140,zeonex,2580,zeonex,2440,zeonex
TADF-M-02722,70,CzSi,2710,CzSi,2640,CzSi
TADF-M-02723,200,CzSi,2940,CzSi,2740,CzSi
TADF-M-01702,-40,neat film,2530,neat film,2570,neat film
TADF-M-01703,20,neat film,2550,neat film,2530,neat film
TADF-M-02724,70,neat film,2440,neat film,2370,neat film
TADF-M-02725,10,neat film,2240,neat film,2230,neat film
TADF-M-02726,20,neat film,2280,neat film,2260,neat film
TADF-M-02727,10,neat film,2240,neat film,2230,neat film
TADF-M-01704,30,toluene,2960,toluene,2930,toluene
TADF-M-01705,10,toluene,2910,toluene,2900,toluene
TADF-M-01706,140,DPEPO,2860,DPEPO,2720,DPEPO
TADF-M-01707,120,DPEPO,2820,DPEPO,2700,DPEPO
TADF-M-01708,170,DPEPO,2930,DPEPO,2760,DPEPO
TADF-M-02732,,,,,2860,THF
TADF-M-02733,,,,,2560,THF
TADF-M-02734,,,,,2830,THF
TADF-M-02735,,,,,2780,THF
TADF-M-02736,,,,,2880,THF
TADF-M-02747,90,toluene,,,,
TADF-M-02748,90,toluene,,,,
TADF-M-01744,32.29,PhCzBCz,,,,
TADF-M-01747,24.58,PhCzBCz,,,,
TADF-M-01748,22.16,PhCzBCz,,,,
TADF-M-01749,260,toluene,2140,toluene,1880,toluene
TADF-M-01750,,,3050,neat film,,
TADF-M-02364,220,PPT,3140,PPT,2920,PPT
TADF-M-02365,210,PPT,3020,PPT,2810,PPT
TADF-M-02749,90,toluene,2880,toluene,2790,toluene
TADF-M-02750,180,toluene,3040,toluene,2860,toluene
TADF-M-02751,250,toluene,3120,toluene,2870,toluene
TADF-M-02752,220,toluene,3110,toluene,2890,toluene
TADF-M-02753,,,3420,toluene,2880,toluene
TADF-M-02754,,,3270,toluene,2830,toluene
TADF-M-02755,,,3320,toluene,2820,toluene
TADF-M-02759,,,3150,toluene,2910,toluene
TADF-M-02760,,,3470,toluene,2850,toluene
TADF-M-02761,,,3840,toluene,3280,toluene
TADF-M-02762,20,toluene,2560,toluene,2540,toluene
TADF-M-00392,150,toluene,2700,toluene,2550,toluene
TADF-M-01340,210,PMMA,,,,
TADF-M-00066,,,,,-6010,neat film
TADF-M-00134,10,toluene,,,,
TADF-M-01780,180,PMMA,,,,
TADF-M-01781,190,PMMA,,,,
TADF-M-01782,160,DPEPO,2890,DPEPO,,
TADF-M-01804,60,neat film,,,,
TADF-M-01805,100,neat film,,,,
TADF-M-01806,40,neat film,,,,
TADF-M-02772,10,neat film,2740,neat film,2730,neat film
TADF-M-02773,60,neat film,2810,neat film,2750,neat film
TADF-M-02774,30,neat film,2740,neat film,2710,neat film
TADF-M-00482,42,toluene,2561,toluene,,
TADF-M-01811,36,toluene,2524,toluene,,
TADF-M-01812,29,toluene,2508,toluene,,
TADF-M-01816,,,3250,DPEPO,2920,DPEPO
TADF-M-01817,,,3350,DPEPO,2920,DPEPO
TADF-M-01820,,,3130,mCP,2880,mCP
TADF-M-01821,,,3120,mCP,2940,mCP
TADF-M-02787,20,CBP,2330,CBP,2310,CBP
TADF-M-02788,10,CBP,2320,CBP,2310,CBP
TADF-M-02789,10,CBP,2260,CBP,2250,CBP
TADF-M-02790,10,CBP,2320,CBP,2310,CBP
TADF-M-02791,320,CBP,2500,CBP,2330,PPT
TADF-M-02792,150,CBP,2330,CBP,2230,THF
TADF-M-02793,60,CBP,2230,CBP,2170,CBP
TADF-M-01825,200,THF,2450,THF,2250,THF
TADF-M-01826,0,THF,2120,THF,2120,THF
TADF-M-01827,230,THF,2560,THF,2330,THF
TADF-M-01828,10,THF,2340,THF,2330,THF
TADF-M-02778,320,THF,2420,THF,2100,THF
TADF-M-02799,190,toluene,3070,toluene,2870,toluene
TADF-M-00264,50,toluene,,,,
TADF-M-02794,20,zeonex,,,,
TADF-M-02795,11,zeonex,,,,
TADF-M-02796,21,zeonex,,,,
TADF-M-01843,40,toluene,2280,toluene,,
TADF-M-01851,34,neat film,,,,
TADF-M-01884,340,toluene,,,,
TADF-M-01885,400,toluene,,,,
TADF-M-01886,340,toluene,,,,
TADF-M-01887,320,toluene,,,,
TADF-M-01888,220,toluene,,,,
TADF-M-00594,10,THF,2160,THF,2150,THF
TADF-M-01858,10,THF,2150,THF,2140,THF
TADF-M-01859,100,THF,2320,THF,2220,THF
TADF-M-02800,80,mCP,2920,mCP,2840,mCP
TADF-M-01873,70,mCP,2640,mCP,2570,mCP
TADF-M-02801,50,mCP,2810,mCP,2760,mCP
TADF-M-01872,90,neat film,2780,neat film,2690,neat film
TADF-M-01874,40,neat film,2630,neat film,2590,neat film
TADF-M-01892,310,neat film,,,,
TADF-M-01893,290,neat film,,,,
TADF-M-01894,550,neat film,,,,
TADF-M-02802,20,hexane,2550,hexane,2530,hexane
TADF-M-02803,70,hexane,2600,hexane,2530,hexane
TADF-M-01903,110,CBP,2350,CBP,2240,CBP
TADF-M-01904,150,CBP,2380,CBP,2230,CBP
TADF-M-01897,180,mCP,,,,
TADF-M-01901,210,toluene,2290,toluene,2080,toluene
TADF-M-01902,250,toluene,2350,toluene,2100,toluene
TADF-M-00460,,,4080,THF,2950,THF
TADF-M-01907,,,4180,THF,3180,THF
TADF-M-01908,,,3870,THF,3100,THF
TADF-M-01925,-140,THF,,,,
TADF-M-01926,-120,THF,,,,
TADF-M-01927,50,THF,,,,
TADF-M-01928,-90,THF,,,,
TADF-M-00166,16.8,mCP,,,,
TADF-M-01938,-138,THF,2950,PPF,3000,THF
TADF-M-01939,320,THF,,,,
TADF-M-01940,50,THF,,,,
TADF-M-02811,260,zeonex,2740,zeonex,2480,zeonex
TADF-M-02812,240,zeonex,2510,zeonex,2270,zeonex
TADF-M-02813,220,zeonex,2880,zeonex,2660,zeonex
TADF-M-02814,240,zeonex,2810,zeonex,2570,zeonex
TADF-M-02815,320,zeonex,2900,zeonex,2580,zeonex
TADF-M-02816,300,zeonex,2710,zeonex,2400,zeonex
TADF-M-02817,350,zeonex,3090,zeonex,2740,zeonex
TADF-M-02818,350,zeonex,3060,zeonex,2710,zeonex
TADF-M-02819,270,zeonex,2790,zeonex,2520,zeonex
TADF-M-02820,200,zeonex,2730,zeonex,2530,zeonex
TADF-M-00434,,,3550,neat film,2630,neat film
TADF-M-02821,,,2990,neat film,2600,neat film
TADF-M-01943,330,toluene,,,,
TADF-M-01944,280,toluene,,,,
TADF-M-01786,200,toluene,,,,
TADF-M-01945,40,toluene,,,,
TADF-M-01946,20,toluene,,,,
TADF-M-00684,380,PLA,3140,PLA,2760,PLA
TADF-M-00685,570,PLA,3200,PLA,2630,PLA
TADF-M-00682,450,PLA,3170,PLA,2720,PLA
TADF-M-00683,50,CBP,2700,CBP,2650,CBP
TADF-M-01947,90,toluene,2570,toluene,2480,toluene
TADF-M-01950,60,toluene,,,,
TADF-M-01951,100,toluene,,,,
TADF-M-02823,240,toluene,2180,toluene,1940,toluene
TADF-M-02824,290,toluene,2390,toluene,2100,toluene
TADF-M-01957,50,mCP,,,,
TADF-M-01958,260,toluene,2210,toluene,,
TADF-M-01959,280,toluene,2210,toluene,,
TADF-M-01960,,,3000,neat film,2980,neat film
TADF-M-01961,,,3000,neat film,2980,neat film
TADF-M-02825,,,2670,toluene,2200,toluene
TADF-M-02826,,,2490,toluene,2250,toluene
TADF-M-00662,80,neat film,,,,
TADF-M-02827,,,2427,CH2Cl2,2190,toluene
TADF-M-02828,,,2434,CH2Cl2,2320,toluene
TADF-M-02830,,,3140,neat film,2700,neat film
TADF-M-02831,,,3010,neat film,2830,neat film
TADF-M-02832,,,2970,neat film,2550,neat film
TADF-M-01962,160,toluene,2340,toluene,2180,toluene
TADF-M-01963,80,toluene,2280,toluene,2200,toluene
TADF-M-02840,20,hexane,2550,hexane,2530,hexane
TADF-M-02834,460,neat film,2880,neat film,2420,neat film
TADF-M-02835,510,neat film,3100,neat film,2590,neat film
TADF-M-02836,470,neat film,2820,neat film,2350,neat film
TADF-M-02837,600,neat film,2830,neat film,2230,neat film
TADF-M-02838,350,neat film,2560,neat film,2210,neat film
TADF-M-02839,440,neat film,2670,neat film,2230,neat film
TADF-M-01964,150,TPBi,,,,
TADF-M-01965,80,TPBi,,,,
TADF-M-02845,390,toluene,2900,toluene,2510,toluene
TADF-M-02846,380,toluene,2880,toluene,2500,toluene
TADF-M-02847,360,THF,,,,
TADF-M-02848,430,THF,,,,
TADF-M-02849,810,toluene,3630,toluene,2820,toluene
TADF-M-02850,640,toluene,3320,toluene,2680,toluene
TADF-M-01968,210,PS,,,,
TADF-M-01969,130,PS,,,,
TADF-M-02853,52,PMMA,1090,PMMA,1090,PMMA
TADF-M-02854,69,PMMA,1130,PMMA,1130,PMMA
TADF-M-02855,45,PMMA,1310,PMMA,1310,PMMA
TADF-M-02856,337,PMMA,1540,PMMA,1540,PMMA
TADF-M-01970,160,THF,,,,
TADF-M-01972,20,toluene,2920,toluene,2900,toluene
TADF-M-01973,160,toluene,3050,toluene,2890,toluene
TADF-M-01974,220,toluene,3140,toluene,2920,toluene
TADF-M-02861,250,toluene,2100,toluene,1850,toluene
TADF-M-02862,230,toluene,2080,toluene,1850,toluene
TADF-M-02863,230,toluene,2050,toluene,1820,toluene
TADF-M-01975,170,toluene,2880,toluene,2710,toluene
TADF-M-01976,170,toluene,2880,toluene,2710,toluene
TADF-M-00673,,,,,2670,zeonex
TADF-M-02864,,,,,2750,zeonex
TADF-M-00762,140,THF,2520,THF,2380,THF
TADF-M-00763,180,THF,2540,THF,2360,THF
TADF-M-00764,30,THF,2440,THF,2410,THF
TADF-M-01984,,,2800,TCTA,2770,TCTA
TADF-M-00765,250,neat film,2700,neat film,2450,neat film
TADF-M-01987,180,neat film,2630,neat film,2440,neat film
TADF-M-01988,460,neat film,2750,neat film,2340,neat film
TADF-M-01989,210,neat film,2610,neat film,2390,neat film
TADF-M-01990,460,neat film,2700,neat film,2300,neat film
TADF-M-02865,390,THF,3310,THF,2920,THF
TADF-M-02866,470,THF,3140,THF,2670,THF
TADF-M-02867,120,THF,3000,THF,2880,THF
TADF-M-01995,590,CHCl3,,,,
TADF-M-01996,220,CHCl3,,,,
TADF-M-01997,460,CHCl3,,,,
TADF-M-01998,470,CHCl3,,,,
TADF-M-01999,640,CHCl3,,,,
TADF-M-02000,380,CHCl3,,,,
TADF-M-02009,380,zeonex,2980,zeonex,2600,zeonex
TADF-M-02010,280,zeonex,2880,zeonex,2600,zeonex
TADF-M-02011,250,zeonex,3070,zeonex,2820,zeonex
TADF-M-02012,120,zeonex,3050,zeonex,2930,zeonex
TADF-M-02013,130,zeonex,2710,zeonex,2580,zeonex
TADF-M-02014,390,zeonex,2970,zeonex,2580,zeonex
TADF-M-02015,,,,,2710,toluene
TADF-M-02016,,,,,2710,toluene
TADF-M-02017,,,,,2710,toluene
TADF-M-00634,40,CBP,2540,CBP,2500,CBP
TADF-M-02018,70,CBP,2680,CBP,2610,CBP
TADF-M-02019,110,CBP,2640,CBP,2530,CBP
TADF-M-02020,160,CBP,2820,CBP,2660,CBP
TADF-M-00647,200,mCP,2750,mCP,2550,mCP
TADF-M-02021,100,mCP,2630,mCP,2530,mCP
TADF-M-02022,80,mCP,2640,mCP,2560,mCP
TADF-M-02023,40,mCP,2570,mCP,2610,mCP
TADF-M-02024,160,mCP,2410,mCP,2250,mCP
TADF-M-02025,10,mCP,2390,mCP,2380,mCP
TADF-M-02026,10,mCP,2330,mCP,2320,mCP
TADF-M-02868,60,neat film,2770,neat film,2710,neat film
TADF-M-02869,30,neat film,2670,neat film,2640,neat film
TADF-M-02870,20,neat film,2520,neat film,2500,neat film
TADF-M-02027,110,neat film,3090,neat film,2980,neat film
TADF-M-02028,420,neat film,3300,neat film,2880,neat film
TADF-M-02874,180,mCP,2580,mCP,2400,mCP
TADF-M-01871,190,mCP,2640,mCP,2450,mCP
TADF-M-02031,160,mCP,2360,mCP,2200,mCP
TADF-M-02875,120,toluene,2350,toluene,2230,toluene
TADF-M-02876,150,toluene,2320,toluene,2170,toluene
TADF-M-02878,120,"2,6-DCzPPy",2690,"2,6-DCzPPy",2570,"2,6-DCzPPy"
TADF-M-02038,30,toluene,3040,toluene,3010,toluene
TADF-M-02037,70,toluene,3090,toluene,3020,toluene
TADF-M-02882,470,neat film,3420,neat film,2950,neat film
TADF-M-00327,710,neat film,3560,neat film,2850,neat film
TADF-M-02879,80,CBP,2550,CBP,2470,CBP
TADF-M-02880,30,CBP,2520,CBP,2490,CBP
TADF-M-02881,130,THF,2940,THF,2810,THF
